gender,age_group,race,n,pct
M,65+,Other Hispanic,37,0.36
M,12-17,Other Hispanic,53,0.52
F,65+,Other Hispanic,57,0.56
M,65+,Mexican American,58,0.57
M,35-49,Other Hispanic,58,0.57
F,12-17,Other Hispanic,59,0.58
M,65+,Other / Multi-Racial,63,0.62
F,65+,Other / Multi-Racial,65,0.64
M,50-64,Other Hispanic,65,0.64
F,65+,Mexican American,72,0.71
M,18-34,Other Hispanic,74,0.73
F,50-64,Other Hispanic,75,0.74
M,12-17,Other / Multi-Racial,79,0.78
F,35-49,Other Hispanic,82,0.81
F,50-64,Mexican American,83,0.82
F,18-34,Other Hispanic,92,0.9
M,50-64,Other / Multi-Racial,94,0.92
