,phq9_little_interest,phq9_depressed_down,phq9_poor_appetite,phq9_feeling_bad_failure,phq9_trouble_concentrating,phq9_moving_slowly_or_fidgety,phq9_thoughts_self_harm,phq9_difficulty_doing_work,care_mental_health_prof_visit,inc_supplemental_security,oh_mouth_problem_depressed
phq9_little_interest,1.0,0.5013613155919355,0.3795835348521407,0.38422748130935325,0.41080262746650603,0.3390590282641073,0.2055833104026483,0.41551138776683993,-0.11587380024080404,-0.05563052078336581,0.029812431146583447
phq9_depressed_down,0.5013613155919355,1.0,0.39386017027757686,0.5550135652193184,0.4503929189805747,0.3704292619358471,0.321758080034915,0.5187884892452703,-0.13399874214183527,-0.052952619024401834,0.035992627114633205
phq9_poor_appetite,0.3795835348521407,0.39386017027757686,1.0,0.40021485192273404,0.3706439019403046,0.3062946089747266,0.18741657027824948,0.3285607322312939,-0.11659010319107599,-0.023385044252580665,0.020956030584601937
phq9_feeling_bad_failure,0.38422748130935325,0.5550135652193184,0.40021485192273404,1.0,0.40157460471979334,0.3592352558222594,0.35746005369999734,0.42008354573389467,-0.10685819967521287,-0.04284823792518977,0.03339855965589168
phq9_trouble_concentrating,0.41080262746650603,0.4503929189805747,0.3706439019403046,0.40157460471979334,1.0,0.42175453267306884,0.2448538551393333,0.4325066777152858,-0.1577210024800368,-0.05475310311148039,0.01904400759165563
phq9_moving_slowly_or_fidgety,0.3390590282641073,0.3704292619358471,0.3062946089747266,0.3592352558222594,0.42175453267306884,1.0,0.21662049559659793,0.37868993340352547,-0.10588017380100474,-0.055472950978403025,0.016532039065345675
phq9_thoughts_self_harm,0.2055833104026483,0.321758080034915,0.18741657027824948,0.35746005369999734,0.2448538551393333,0.21662049559659793,1.0,0.2892203842194643,-0.051828702065928614,-0.014342342027641444,0.007550524230768222
phq9_difficulty_doing_work,0.41551138776683993,0.5187884892452703,0.3285607322312939,0.42008354573389467,0.4325066777152858,0.37868993340352547,0.2892203842194643,1.0,-0.16480176097359878,-0.05815859872924137,0.020593228857497894
care_mental_health_prof_visit,-0.11587380024080404,-0.13399874214183527,-0.11659010319107599,-0.10685819967521287,-0.1577210024800368,-0.10588017380100474,-0.051828702065928614,-0.16480176097359878,1.0,0.05447450588763305,-0.015058162848905364
inc_supplemental_security,-0.05563052078336581,-0.052952619024401834,-0.023385044252580665,-0.04284823792518977,-0.05475310311148039,-0.055472950978403025,-0.014342342027641444,-0.05815859872924137,0.05447450588763305,1.0,-0.02441557478234446
oh_mouth_problem_depressed,0.029812431146583447,0.035992627114633205,0.020956030584601937,0.03339855965589168,0.01904400759165563,0.016532039065345675,0.007550524230768222,0.020593228857497894,-0.015058162848905364,-0.02441557478234446,1.0
