,dis_diff_walking_climbing_stairs,mc_currently_increasing_activity,pf_difficulty_walking_quarter_mile,pa_vigorous_work_ever,pa_moderate_work_ever,pa_walk_bike_transport_ever,pa_vigorous_recreation_ever,pa_moderate_recreation_ever,pa_moderate_recreation_days_wk,pa_moderate_recreation_minutes_day,pa_sedentary_minutes_day
dis_diff_walking_climbing_stairs,1.0,-0.038148811535728896,0.5966371608644524,-0.03326806421141491,-0.05563825363923468,-0.09645987128926785,-0.17367563181012824,-0.15175334909960414,-0.0424558467527037,0.02210601489636653,-0.044601756387648114
mc_currently_increasing_activity,-0.038148811535728896,1.0,-0.05593502018627158,0.040242754946767136,0.08828644493428597,0.08733397435332967,0.2073364776957814,0.26185365792277426,-0.06213181762048119,0.05203401621525835,0.0410717710964297
pf_difficulty_walking_quarter_mile,0.5966371608644524,-0.05593502018627158,1.0,-0.07369321467937118,-0.08903420098732442,-0.07821435172654026,-0.13610607682844533,-0.16488796224782123,-0.02788206381055162,0.05113340148292799,-0.05763607554485629
pa_vigorous_work_ever,-0.03326806421141491,0.040242754946767136,-0.07369321467937118,1.0,0.37581207323874743,0.003968273342147692,0.04847911715213164,0.0028665818692161617,0.029590087636395642,-0.07755613405186368,0.09799948132069629
pa_moderate_work_ever,-0.05563825363923468,0.08828644493428597,-0.08903420098732442,0.37581207323874743,1.0,0.04237453898762847,0.08412780751630514,0.0793897114412388,0.02061102523624219,-0.05418828988104286,0.09675523344659981
pa_walk_bike_transport_ever,-0.09645987128926785,0.08733397435332967,-0.07821435172654026,0.003968273342147692,0.04237453898762847,1.0,0.12681627783514202,0.08066431635234572,-0.035894876201918495,-0.04527709560230323,0.0019178904624357832
pa_vigorous_recreation_ever,-0.17367563181012824,0.2073364776957814,-0.13610607682844533,0.04847911715213164,0.08412780751630514,0.12681627783514202,1.0,0.2548010025901911,-0.01717760737508386,0.0007445363713518793,-0.009835613841232452
pa_moderate_recreation_ever,-0.15175334909960414,0.26185365792277426,-0.16488796224782123,0.0028665818692161617,0.0793897114412388,0.08066431635234572,0.2548010025901911,1.0,,,0.051535391481260615
pa_moderate_recreation_days_wk,-0.0424558467527037,-0.06213181762048119,-0.02788206381055162,0.029590087636395642,0.02061102523624219,-0.035894876201918495,-0.01717760737508386,,1.0,-0.04394121704383457,0.13690898023547202
pa_moderate_recreation_minutes_day,0.02210601489636653,0.05203401621525835,0.05113340148292799,-0.07755613405186368,-0.05418828988104286,-0.04527709560230323,0.0007445363713518793,,-0.04394121704383457,1.0,-0.00953727022717647
pa_sedentary_minutes_day,-0.044601756387648114,0.0410717710964297,-0.05763607554485629,0.09799948132069629,0.09675523344659981,0.0019178904624357832,-0.009835613841232452,0.051535391481260615,0.13690898023547202,-0.00953727022717647,1.0
